iter	Logloss_SumError	Logloss_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	489.4563463	713	45	97	327
1	487.4833234	713	80	177	327
2	486.0835286	713	90	174	327
3	479.7963418	713	126	206	327
4	477.3209556	713	123	203	327
5	475.0917787	713	129	217	327
6	473.9387868	713	121	192	327
7	475.3791339	713	121	190	327
8	473.5443624	713	123	194	327
9	471.8081064	713	121	195	327
10	465.7328699	713	129	206	327
11	465.419665	713	126	200	327
12	459.4310166	713	124	190	327
13	460.5509299	713	129	200	327
14	459.668144	713	138	204	327
15	455.6675028	713	144	215	327
16	454.9536179	713	147	217	327
17	456.131433	713	149	227	327
18	453.7256489	713	152	228	327
19	451.4041444	713	147	222	327
20	449.6909841	713	153	230	327
21	448.0387196	713	152	225	327
22	449.230731	713	156	228	327
23	450.2608296	713	159	237	327
24	448.7175444	713	167	255	327
25	449.0596873	713	165	251	327
26	449.2723527	713	165	255	327
27	448.4113156	713	170	253	327
28	445.6452202	713	167	246	327
29	442.6445382	713	170	253	327
30	442.1061187	713	168	247	327
31	442.5317243	713	166	248	327
32	442.0376229	713	167	247	327
33	443.7247162	713	165	246	327
34	442.7904289	713	169	248	327
35	441.6455496	713	166	244	327
36	439.565024	713	167	242	327
37	441.3561205	713	162	235	327
38	439.9165344	713	162	237	327
39	437.0116444	713	166	240	327
40	437.0146887	713	160	236	327
41	436.010434	713	166	242	327
42	434.7117252	713	168	241	327
43	434.4666526	713	171	247	327
44	433.4613777	713	172	248	327
45	431.1876408	713	174	248	327
46	428.5039434	713	174	238	327
47	426.543418	713	172	229	327
48	424.5137399	713	173	233	327
49	423.9935427	713	175	237	327
50	419.8030748	713	183	243	327
51	420.5829503	713	188	249	327
52	420.4935385	713	190	252	327
53	420.1561916	713	188	248	327
54	418.9209817	713	186	245	327
55	419.2535584	713	187	250	327
56	416.4326644	713	188	252	327
57	416.1855091	713	187	251	327
58	414.4491869	713	192	255	327
59	412.4394167	713	195	256	327
60	408.9934515	713	197	255	327
61	408.212048	713	198	256	327
62	404.968261	713	195	253	327
63	403.7928555	713	197	257	327
64	400.2369286	713	199	255	327
65	399.0897743	713	204	261	327
66	397.1723193	713	209	264	327
67	396.5694969	713	208	265	327
68	395.4144353	713	210	267	327
69	393.0543303	713	211	269	327
70	392.3371544	713	212	270	327
71	391.2767124	713	214	275	327
72	390.8860782	713	213	274	327
73	390.8895839	713	214	274	327
74	390.1105166	713	212	268	327
75	387.4790118	713	218	277	327
76	386.4756018	713	211	271	327
77	385.655881	713	217	274	327
78	384.4339484	713	219	277	327
79	383.1811278	713	221	278	327
80	383.6667489	713	225	283	327
81	383.4357962	713	225	281	327
82	383.5368155	713	225	285	327
83	383.6995008	713	224	285	327
84	381.0847514	713	229	289	327
85	380.692214	713	227	286	327
86	378.0012719	713	228	288	327
87	377.9674067	713	227	287	327
88	376.849207	713	228	289	327
89	375.772193	713	230	288	327
90	374.1561895	713	230	288	327
91	373.0864395	713	231	290	327
92	371.0650177	713	230	289	327
93	369.7497765	713	229	288	327
94	369.3437255	713	227	282	327
95	366.1927186	713	229	283	327
96	364.836567	713	229	284	327
97	363.5328458	713	231	287	327
98	363.1801107	713	230	286	327
99	362.0831931	713	228	284	327
